STATUS,TABLE,FIELD,CHECK,CATEGORY,SUBCATEGORY,LEVEL,NOTES,DESCRIPTION,% RECORDS
PASS,DEVICE_EXPOSURE,UNIT_SOURCE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if UNIT_SOURCE_CONCEPT_ID is present in the DEVICE_EXPOSURE table as expected based on the specification.,0%
PASS,DEVICE_EXPOSURE,UNIT_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if UNIT_SOURCE_VALUE is present in the DEVICE_EXPOSURE table as expected based on the specification.,0%
PASS,DEVICE_EXPOSURE,VISIT_DETAIL_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_DETAIL_ID is present in the DEVICE_EXPOSURE table as expected based on the specification.,0%
PASS,DEVICE_EXPOSURE,VISIT_OCCURRENCE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_OCCURRENCE_ID is present in the DEVICE_EXPOSURE table as expected based on the specification.,0%
PASS,DOSE_ERA,DOSE_ERA_END_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DOSE_ERA_END_DATE is present in the DOSE_ERA table as expected based on the specification.,0%
PASS,DOSE_ERA,DOSE_ERA_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DOSE_ERA_ID is present in the DOSE_ERA table as expected based on the specification.,0%
PASS,DOSE_ERA,DOSE_ERA_START_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DOSE_ERA_START_DATE is present in the DOSE_ERA table as expected based on the specification.,0%
PASS,DOSE_ERA,DOSE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DOSE_VALUE is present in the DOSE_ERA table as expected based on the specification.,0%
PASS,DOSE_ERA,DRUG_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_CONCEPT_ID is present in the DOSE_ERA table as expected based on the specification.,0%
PASS,DOSE_ERA,PERSON_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PERSON_ID is present in the DOSE_ERA table as expected based on the specification.,0%
PASS,DOSE_ERA,UNIT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if UNIT_CONCEPT_ID is present in the DOSE_ERA table as expected based on the specification.,0%
PASS,DRUG_ERA,DRUG_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_CONCEPT_ID is present in the DRUG_ERA table as expected based on the specification.,0%
PASS,DRUG_ERA,DRUG_ERA_END_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_ERA_END_DATE is present in the DRUG_ERA table as expected based on the specification.,0%
PASS,DRUG_ERA,DRUG_ERA_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_ERA_ID is present in the DRUG_ERA table as expected based on the specification.,0%
PASS,DRUG_ERA,DRUG_ERA_START_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_ERA_START_DATE is present in the DRUG_ERA table as expected based on the specification.,0%
PASS,DRUG_ERA,DRUG_EXPOSURE_COUNT,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_EXPOSURE_COUNT is present in the DRUG_ERA table as expected based on the specification.,0%
PASS,DRUG_ERA,GAP_DAYS,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if GAP_DAYS is present in the DRUG_ERA table as expected based on the specification.,0%
PASS,DRUG_ERA,PERSON_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PERSON_ID is present in the DRUG_ERA table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DAYS_SUPPLY,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DAYS_SUPPLY is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DOSE_UNIT_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DOSE_UNIT_SOURCE_VALUE is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_CONCEPT_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_EXPOSURE_END_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_EXPOSURE_END_DATE is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_EXPOSURE_END_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_EXPOSURE_END_DATETIME is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_EXPOSURE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_EXPOSURE_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_EXPOSURE_START_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_EXPOSURE_START_DATE is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_EXPOSURE_START_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_EXPOSURE_START_DATETIME is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_SOURCE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_SOURCE_CONCEPT_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_SOURCE_VALUE is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,DRUG_TYPE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_TYPE_CONCEPT_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,LOT_NUMBER,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if LOT_NUMBER is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,PERSON_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PERSON_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,PROVIDER_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PROVIDER_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,QUANTITY,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if QUANTITY is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,REFILLS,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if REFILLS is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,ROUTE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if ROUTE_CONCEPT_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,ROUTE_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if ROUTE_SOURCE_VALUE is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,SIG,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if SIG is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,STOP_REASON,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if STOP_REASON is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,VERBATIM_END_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VERBATIM_END_DATE is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,VISIT_DETAIL_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_DETAIL_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_EXPOSURE,VISIT_OCCURRENCE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_OCCURRENCE_ID is present in the DRUG_EXPOSURE table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,AMOUNT_UNIT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if AMOUNT_UNIT_CONCEPT_ID is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,AMOUNT_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if AMOUNT_VALUE is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,BOX_SIZE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if BOX_SIZE is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,DENOMINATOR_UNIT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DENOMINATOR_UNIT_CONCEPT_ID is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,DENOMINATOR_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DENOMINATOR_VALUE is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,DRUG_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DRUG_CONCEPT_ID is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,INGREDIENT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if INGREDIENT_CONCEPT_ID is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,INVALID_REASON,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if INVALID_REASON is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,NUMERATOR_UNIT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NUMERATOR_UNIT_CONCEPT_ID is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,NUMERATOR_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NUMERATOR_VALUE is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,VALID_END_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALID_END_DATE is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,DRUG_STRENGTH,VALID_START_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALID_START_DATE is present in the DRUG_STRENGTH table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_CONCEPT_ID is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_END_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_END_DATE is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_END_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_END_DATETIME is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_ID is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_NUMBER,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_NUMBER is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_OBJECT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_OBJECT_CONCEPT_ID is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_PARENT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_PARENT_ID is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_SOURCE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_SOURCE_CONCEPT_ID is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_SOURCE_VALUE is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_START_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_START_DATE is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_START_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_START_DATETIME is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,EPISODE_TYPE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_TYPE_CONCEPT_ID is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE,PERSON_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PERSON_ID is present in the EPISODE table as expected based on the specification.,0%
PASS,EPISODE_EVENT,EPISODE_EVENT_FIELD_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_EVENT_FIELD_CONCEPT_ID is present in the EPISODE_EVENT table as expected based on the specification.,0%
PASS,EPISODE_EVENT,EPISODE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EPISODE_ID is present in the EPISODE_EVENT table as expected based on the specification.,0%
PASS,EPISODE_EVENT,EVENT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if EVENT_ID is present in the EPISODE_EVENT table as expected based on the specification.,0%
PASS,FACT_RELATIONSHIP,DOMAIN_CONCEPT_ID_1,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DOMAIN_CONCEPT_ID_1 is present in the FACT_RELATIONSHIP table as expected based on the specification.,0%
PASS,FACT_RELATIONSHIP,DOMAIN_CONCEPT_ID_2,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if DOMAIN_CONCEPT_ID_2 is present in the FACT_RELATIONSHIP table as expected based on the specification.,0%
PASS,FACT_RELATIONSHIP,FACT_ID_1,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if FACT_ID_1 is present in the FACT_RELATIONSHIP table as expected based on the specification.,0%
PASS,FACT_RELATIONSHIP,FACT_ID_2,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if FACT_ID_2 is present in the FACT_RELATIONSHIP table as expected based on the specification.,0%
PASS,FACT_RELATIONSHIP,RELATIONSHIP_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if RELATIONSHIP_CONCEPT_ID is present in the FACT_RELATIONSHIP table as expected based on the specification.,0%
PASS,LOCATION,ADDRESS_1,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if ADDRESS_1 is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,ADDRESS_2,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if ADDRESS_2 is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,CITY,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if CITY is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,COUNTRY_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if COUNTRY_CONCEPT_ID is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,COUNTRY_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if COUNTRY_SOURCE_VALUE is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,COUNTY,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if COUNTY is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,LATITUDE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if LATITUDE is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,LOCATION_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if LOCATION_ID is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,LOCATION_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if LOCATION_SOURCE_VALUE is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,LONGITUDE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if LONGITUDE is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,STATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if STATE is present in the LOCATION table as expected based on the specification.,0%
PASS,LOCATION,ZIP,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if ZIP is present in the LOCATION table as expected based on the specification.,0%
PASS,MEASUREMENT,MEAS_EVENT_FIELD_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEAS_EVENT_FIELD_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_DATE is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_DATETIME is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_EVENT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_EVENT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_SOURCE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_SOURCE_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_SOURCE_VALUE is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_TIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_TIME is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,MEASUREMENT_TYPE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if MEASUREMENT_TYPE_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,OPERATOR_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if OPERATOR_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,PERSON_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PERSON_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,PROVIDER_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PROVIDER_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,RANGE_HIGH,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if RANGE_HIGH is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,RANGE_LOW,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if RANGE_LOW is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,UNIT_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if UNIT_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,UNIT_SOURCE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if UNIT_SOURCE_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,UNIT_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if UNIT_SOURCE_VALUE is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,VALUE_AS_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALUE_AS_CONCEPT_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,VALUE_AS_NUMBER,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALUE_AS_NUMBER is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,VALUE_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALUE_SOURCE_VALUE is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,VISIT_DETAIL_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_DETAIL_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,MEASUREMENT,VISIT_OCCURRENCE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_OCCURRENCE_ID is present in the MEASUREMENT table as expected based on the specification.,0%
PASS,METADATA,METADATA_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if METADATA_CONCEPT_ID is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,METADATA_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if METADATA_DATE is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,METADATA_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if METADATA_DATETIME is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,METADATA_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if METADATA_ID is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,METADATA_TYPE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if METADATA_TYPE_CONCEPT_ID is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,NAME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NAME is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,VALUE_AS_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALUE_AS_CONCEPT_ID is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,VALUE_AS_NUMBER,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALUE_AS_NUMBER is present in the METADATA table as expected based on the specification.,0%
PASS,METADATA,VALUE_AS_STRING,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VALUE_AS_STRING is present in the METADATA table as expected based on the specification.,0%
PASS,NOTE,ENCODING_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if ENCODING_CONCEPT_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,LANGUAGE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if LANGUAGE_CONCEPT_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_CLASS_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_CLASS_CONCEPT_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_DATE is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_DATETIME is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_EVENT_FIELD_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_EVENT_FIELD_CONCEPT_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_EVENT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_EVENT_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_SOURCE_VALUE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_SOURCE_VALUE is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_TEXT,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_TEXT is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_TITLE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_TITLE is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,NOTE_TYPE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_TYPE_CONCEPT_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,PERSON_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PERSON_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,PROVIDER_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if PROVIDER_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,VISIT_DETAIL_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_DETAIL_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE,VISIT_OCCURRENCE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if VISIT_OCCURRENCE_ID is present in the NOTE table as expected based on the specification.,0%
PASS,NOTE_NLP,LEXICAL_VARIANT,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if LEXICAL_VARIANT is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,NLP_DATE,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NLP_DATE is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,NLP_DATETIME,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NLP_DATETIME is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,NLP_SYSTEM,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NLP_SYSTEM is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,NOTE_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_ID is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,NOTE_NLP_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_NLP_CONCEPT_ID is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,NOTE_NLP_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_NLP_ID is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,NOTE_NLP_SOURCE_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if NOTE_NLP_SOURCE_CONCEPT_ID is present in the NOTE_NLP table as expected based on the specification.,0%
PASS,NOTE_NLP,SECTION_CONCEPT_ID,cdmField,Conformance,Relational,FIELD,None,A yes or no value indicating if SECTION_CONCEPT_ID is present in the NOTE_NLP table as expected based on the specification.,0%
